AREAP,avg_num_people
1302603005001,4.0948936170212775
1302603005002,4.1957971014492745
1302603005003,3.9286440677966112
1302603005004,4.084615384615383
1302603005005,3.863297872340424
1302603005006,4.007078651685391
1302603005007,3.871073825503356
1302603005008,3.5887012987013
1302603005009,4.276029411764706
1302603005010,3.666714285714286
1302603005011,3.4831884057971014
1302603005012,3.4887931034482773
1302603005013,3.8513043478260864
1302603005014,3.855217391304348
1302603005015,3.756575342465753
1302603005016,3.927121212121213
1302603005017,3.983285714285714
1302603005018,3.951341463414635
1302603005019,3.9419354838709673
1302603005020,3.737894736842105
1302603005021,3.557285714285714
1302603005022,3.471846153846154
1302603005023,4.0214285714285705
1302603005024,3.987333333333332
1302603005025,3.9401785714285715
1302603005026,3.8426470588235286
1302603005027,4.102916666666666
1302603005028,4.1933333333333325
1302603005029,4.093846153846156
1302603005030,4.031999999999999
1302603005031,3.745194805194806
1302603005032,4.07171052631579
1302603005033,3.8
2403251005001,3.4078571428571425
2403251005002,3.5381250000000004
2403251005003,3.3735
2403251005004,3.4309523809523816
2403251005005,3.586875
2403251005006,3.430400000000001
2403251005007,3.124375
2403251005008,3.154666666666666
2403251005009,3.0481818181818188
2403251005010,3.5535714285714284
2403251005011,3.194761904761905
2403608001001,3.7791666666666655
2407104003001,3.5075000000000003
2407104003002,3.5832258064516127
2408102004001,3.3392857142857144
2408102004002,3.5696296296296297
2408102004003,3.6190322580645167
2408102004004,3.3853571428571434
2408102004005,3.5493548387096774
2408102004006,3.117647058823529
2408102004007,3.498157894736841
2408102004008,3.5745161290322582
2408102004009,3.4884374999999994
2408102004010,3.450322580645161
2408102004011,3.2888888888888883
2408102004012,3.176470588235293
2408102004013,3.3294117647058825
2408102004014,3.535000000000001
2408102004015,3.516451612903225
2408102004016,3.4551515151515155
2408102004017,3.063684210526316
2408102004018,3.3392105263157896
2408102004019,3.431875
2408102004020,3.486923076923076
2408102004021,3.4814285714285718
2408102004022,3.467843137254901
2408102004023,3.506470588235292
2408201001001,3.636111111111111
2412005003001,3.5683333333333334
2412005003002,3.5076470588235296
2412005003003,3.608000000000001
2412005003004,3.6433333333333335
2412203003001,3.635555555555556
2412203003002,3.681851851851852
5103403005001,3.5564444444444456
5103403005002,3.195454545454545
5103403005003,3.2371794871794863
5103403005004,3.1478846153846165
5103403005005,3.0610526315789466
5103403005006,3.2280392156862745
5103403005007,3.298653846153845
5103403005008,3.409756097560976
5103403005009,3.442127659574468
5103403005010,3.5431372549019615
5103403005011,3.24925
5103403005012,3.0656250000000003
5103403005013,3.305853658536586
5103403005014,3.4414035087719297
5103403005015,3.3634210526315784
5103403005016,3.2784615384615385
5103403005017,3.435217391304348
5103403005018,3.2868421052631582
5108402005001,3.2605000000000004
5108402005002,3.5254545454545454
5108402005003,3.4876190476190483
5108402005004,3.4575000000000005
5108402005005,3.3768965517241383
5108402005006,3.485555555555555
5108402005007,3.375
5108402005008,3.430526315789473
5108402005009,3.518636363636364
5108402005010,3.3309523809523816
5108402005011,3.432105263157895
5108402005012,3.4426315789473687
5108402005013,3.3117647058823527
5108402005014,3.1074999999999995
5108402005015,3.282916666666668
5108402005016,3.275652173913043
5108402005017,3.4085365853658542
3106200005001,3.3720253164556957
3106200005002,3.226231884057971
3106200005003,3.2528767123287667
3106200005004,3.2947500000000005
3106200005005,3.2374000000000014
3106200005006,3.366739130434783
3106200005007,3.4826865671641785
3106200005008,2.3693846153846163
3106200005009,2.5345762711864417
3106200005010,2.406538461538462
3106200005011,2.7969767441860465
3106200005012,2.9005000000000014
3106200005013,2.7139999999999995
3106200005014,3.5639062500000005
3106200005015,2.915
3106200005016,2.8903508771929824
3106200005017,3.2533707865168537
3106200005018,2.8746376811594203
3106200005019,2.7260869565217387
3106200005020,2.9914285714285715
3106200005021,3.211041666666668
3106200005022,3.61046875
3106200005023,3.355185185185185
3106200005024,3.543877551020408
3106200005025,3.3102380952380948
3106200005026,3.2442105263157885
3106200005027,3.1592857142857134
3106200005028,3.250172413793103
3106200005029,3.2716666666666665
3106200005030,3.3888461538461536
3106200005031,3.378833333333333
3106200005032,3.2676119402985075
3106200005033,3.111666666666667
3106200005034,3.02529411764706
3106200005035,3.037560975609757
3106200005036,2.8766666666666683
3106200005037,3.110178571428572
3106200005038,3.031698113207547
3106200005039,2.955915492957747
3106200005040,3.2514583333333325
3106200005041,3.2571052631578943
3106200005042,3.1815555555555552
3106200005043,2.8837037037037043
3106200005044,2.9850793650793657
3106200005045,2.9321276595744683
3106200005046,2.8131249999999994
3106200005047,2.8932558139534885
3106200005048,3.4327777777777784
3106200005049,3.2101818181818187
3106200005050,3.2393333333333354
3106200005051,3.2455000000000003
3106200005052,3.3955769230769235
3106200005053,3.2867391304347824
3106200005054,2.8057142857142856
3106200005055,3.2235365853658533
3106200005056,2.9314893617021283
3106200005057,3.161896551724139
3106200005058,3.1057692307692317
3106200005059,3.2753731343283587
3106200005060,3.2017391304347838
3106200005061,3.3054929577464773
3106200005062,3.3907042253521134
3106200005063,3.173880597014925
3106200005064,3.255609756097561
3106200005065,3.3095454545454546
3106200005066,3.3299999999999987
3106200005067,3.3378260869565217
3106705005001,3.2736363636363635
3106705005002,3.1936170212765966
3106705005003,3.531944444444445
3106705005004,3.1072413793103446
3106705005005,3.4631999999999987
3106705005006,3.4603448275862068
3106705005007,3.239787234042553
3106705005008,3.274666666666667
3106705005009,3.32125
3106705005010,3.1795238095238094
3106705005011,3.2891666666666666
3106705005012,3.4336111111111114
3106705005013,3.367916666666668
3106705005014,3.3268965517241385
3106705005015,3.311666666666666
3106705005016,3.2694444444444435
3106705005017,3.262058823529411
3106705005018,3.4686206896551717
3106705005019,3.3202941176470584
3106705005020,3.3688
3109006003001,3.2773333333333325
3109006003002,3.031132075471698
3110004003001,3.3624999999999994
3110004003002,3.33
3112505001001,3.2256250000000004
3115904001001,2.91
3117876001001,3.464
3118601005001,3.5079012345679024
3118601005002,3.3827777777777777
3118601005003,3.475312499999999
3118601005004,3.4439506172839502
3118601005005,3.217551020408163
3118601005006,3.258999999999999
3118601005007,3.3687719298245624
3118601005008,3.33796875
3118601005009,3.0537254901960798
3118601005010,3.154782608695652
3118601005011,3.1547916666666675
3118601005012,3.1054022988505747
3118601005013,3.2660714285714296
3118601005014,3.0740740740740735
3119401003001,3.155106382978722
3119401003002,3.2379487179487185
3119401003003,3.4369230769230765
3119401003004,3.346756756756757
3119401003005,3.3218604651162797
3124104003001,3.298133333333333
3124104003002,3.372321428571428
3129806003001,3.455
3129806003002,3.5361904761904763
3129806003003,3.3520000000000008
3129806003004,3.447083333333333
3129806003005,3.4463888888888885
3129806003006,3.35695652173913
3129806003007,3.4542857142857146
3129806003008,3.4811627906976734
3130101003001,3.1826086956521737
3130101003002,3.3642307692307694
3131158001001,3.444500000000001
3131307005001,3.18
3131307005002,3.0789655172413792
3131307005003,3.3362962962962968
3131307005004,3.178611111111111
3131307005005,3.224166666666666
3131307005006,3.234090909090909
3131307005007,3.412692307692308
3131307005008,3.4075862068965512
3131307005009,3.160526315789473
3131307005010,3.244285714285714
3131307005011,3.4263636363636367
3131307005012,3.4300000000000006
3136652001001,3.197105263157895
3136702005001,3.3029870129870136
3136702005002,3.1734042553191486
3136702005003,3.1285106382978736
3136702005004,3.0977611940298497
